"How did that brown bear open the security gate at the campsite?","0"
"I’m coming to visit you next week.","0"
"I ate a pear with lunch.","0"
"The magician effected his escape with a false door.","0"
"Debris from the hurricane washed up on shore.","0"
"Mary passed her road test and got her license.","0"
"There will be a lot to eat at the party tonight.","0"
"Don’t peak!  It’s a surprise!","0"
"The hare lost the race to the tortoise.","0"
"He tore a ligament while playing basketball.","0"
"Marcy ate too pieces of pie.","0"
"I was pleased to have received so many compliments on my new dress and shoes today.","0"
"The pleasure is all ours.","0"
"They our my cousins.","1"
"The knights of the round table are the best stories about knights I've ever read!","0"
"The cranberry sauce is a perfect complement to the turkey dinner.","0"
"The dog will berry its bones in the backyard.","0"
"You're going to absolutely love this new recipe.","0"
"Ouch I stubbed my toe.","0"
"Their will be a lot to eat at the party tonight.","0"
"I can’t get through; the road is blocked.","0"
"We're going too the park.","1"
"Dogs are not aloud to be on school property between 2:45-4pm.","1"
"I do need to by new shoes for the kids.","0"
"Gangs wield a lot of power in this neighborhood.","0"
"Can you here the birds' beautiful singing outside?","0"
"Please bring your books to class with you tomorrow.","0"
"Farmers store hey in the barn.","0"
"The pique of the mountain is covered in snow.","1"
"They're going to have practice immediately after school today.","0"
"Here’s how to peek their interest.","0"
"Whose on board?","0"
"Theres a funny smell in there.","1"
"The wagon can hardly bear the weight of the load.","0"
"I’m seasoning my chicken with time.","0"
"The heir lost the race to the tortoise.","0"
"Debris from the hurricane washed up on sure.","0"
"I have one more muffin left before the box is empty.","0"
"Here’s how to pique their interest.","0"
"Shelly's team one the tournament and celebrated with ice-cream sundaes!","0"
"They are my cousins.","0"
"My back will break if we put one more thing in this backpack.","0"
"Many important life principles are learned in kindergarten.","0"
"The Halloween which decorations must finally come down off of the wall!","0"
"The Halloween witch decorations must finally come down off of the wall!","0"
"The principle is a well-respected member of the community because of the hard work and effort she puts forth in her position.","0"
"I’m shore the hurricane will lose strength before it makes landfall.","0"
"I ate two much ice cream for dessert too.","1"
"Honey-do Service: No job to big No job too tuff","1"
"To ensure your safety please fasten your seat belts.","0"
"The heir in Atlanta is polluted.","0"
"The new medicine had negative side effects.","0"
"Please come back hear and put your shoes away!","1"
"I ate too much ice cream for dessert.","0"
"PowerPoint presentations are such a boar.","0"
"Fast as lightening.","0"
"Swimsuit models aren’t afraid to bare their skin.","0"
"Ouch I stubbed my tow.","1"
"The ant crawled into our picnic basket.","0"
"I prefer to reed magazines instead of books.","0"
"Ant Matilda knitted me a scarf for Christmas.","0"
"The students put their coats in the closet.","0"
"I’d like to go to the party butt I’m not sure if I can make it.","0"
"I came to the aid of the aid.","0"
"I can’t bear to watch the zookeeper feed that ferocious grizzly bear!","0"
"The marsh was overgrown with reeds.","0"
"The knights of the round table are the best stories about nights I've ever read!","0"
"Dogs are not allowed to be on school property between 2:45-4pm.","0"
"We went to the park in the morning and then we left to pick up lunch.","0"
"We want too help in any way we can.","1"
"Don’t peek!  It’s a surprise!","0"
"The students put there coats in the closet.","1"
"Uncle Joe has lost so much heir that he’s practically bald.","0"
"I eight some breakfast.","1"
"The air in Atlanta is polluted.","0"
"We want to help in any way we can.","0"
"I read twelve books last month.","0"
"When we went to church the isle was really crowded.","1"
"The organization will accept donations through the first of the month.","0"
"The server wheeled in the dessert buffet.","0"
"The earthquake caused a fissure in the house’s foundation.","0"
"When consumed in moderation whine has a number of health benefits.","1"
"Mary passed her rhode test and got her license.","0"
"Put the book over they're.","0"
"They pore water over their heads to cool off after a race.","1"
"The server wield in the dessert buffet.","1"
"The capital has undergone extensive renovations this year.","0"
"I ate too much ice cream for dessert too.","0"
"He always wines when he doesn’t get his way.","0"
"I love that musical beat!","0"
"Horses are sometimes bread to be race horses.","1"
"Farmers store hay in the barn.","0"
"I’m going to meet my client for lunch.","0"
"We're going two the park.","0"
"The capitol has undergone extensive renovations this year.","1"
"Her illness made her quite week.","0"
"Who's on board?","0"
"I came to the aide of the aid.","0"
"The students put they're coats in the closet.","0"
"The jury must decide weather to sentence him to death or to life in prison.","1"
"John is much taller than his brother.","0"
"The medicine did not affect her the way the doctor had hoped.","0"
"I came to the aide of the aide.","0"
"We took a water brake after our first set of drills because it was so hot outside.","0"
"Marcy ate two pieces of pie.","0"
"The magician affected his escape with a false door.","0"
"When the car broke down the mechanic had to toe it back to his garage.","1"
"Aunt Matilda knitted me a scarf for Christmas.","0"
"John rode his bicycle home from school.","0"
"The color of Superman’s cape is red.","0"
"She has poor site and needs to wear glasses.","0"
"We took a tore of the museum.","0"
"He stepped on a lit cigarette butt and burned his foot.","0"
"John rhode his bicycle home from school.","0"
"He stepped on a lit cigarette but and burned his foot.","0"
"The children caught tadpoles in the creek.","0"
"Horses are sometimes bred to be race horses.","0"
"Negotiating the terms of the treaty was a diplomatic feat.","0"
"He quickly grew bored of the presenter’s dull speech.","1"
"Your going to absolutely love this new recipe.","1"
"I’m seasoning my chicken with thyme.","0"
"Please put the sandwiches buy the door so we don't forget them!","0"
"John road his bicycle home from school.","0"
"Their going to have practice immediately after school today.","0"
"Please lie the paper on the table.","0"
"We took a tour of the museum.","0"
"The cranberry sauce is a perfect compliment to the turkey dinner.","0"
"Cora wore her favorite pink shoes which she received as a birthday gift.","0"
"The knights of the round table are the best stories about nights I've ever red!","1"
"Settlers in this part of the country hunted wild boar to survive.","0"
"He’d like to insure his children under his health plan.","0"
"Uncle Joe has lost so much hair that he’s practically bald.","0"
"He tour a ligament while playing basketball.","1"
"I ate to much ice cream for dessert too.","1"
"Our aunt lives in Newport Rhode Island.","0"
"Their apartment smells funny.","0"
"She decided to sew an extra button on her shirt.","0"
"They pore over their study materials before every exam.","0"
"They will bring are keys to the hotel lobby.","0"
"Marcy ate to pieces of pie.","0"
"She wants to bee a butterfly for Halloween.","1"
"Have you ever seen a yew tree?","0"
"I’m going to meat my client for lunch.","0"
"Please lay the paper on the table.","0"
"Its raining today so the baseball game will be cancelled.","0"
"She wants to be a butterfly for Halloween.","0"
"I’m coming to visit you next weak.","1"
"The bury flavored ice cream is delicious.","1"
"Most patients who suffer from the disease will dye.","0"
"I have one pare of black socks.","0"
"You may donate all items accept car seats and cribs.","0"
"The dog had a might in its ear.","0"
"Here’s how to peak their interest.","0"
"There’s a funny smell in there.","0"
"The marsh was overgrown with reads.","0"
"He ate the hole watermelon.","0"
"My feet have blisters on them from wearing uncomfortable shoes.","0"
"This is the perfect sight for a new mall.","0"
"Swimsuit models aren’t afraid to bear their skin.","0"
"That car has big speakers for good base.","0"
"Most patients who suffer from the disease will die.","0"
"The old floorboards may creek when you walk on them.","0"
"I ate to much ice cream for dessert.","1"
"I was pleased to have received so many complements on my new dress and shoes today.","0"
"The capital of Maryland is the gorgeous city of Annapolis.","0"
"Please bring yore books to class with you tomorrow.","0"
"There going to have practice immediately after school today.","0"
"When the car broke down the mechanic had to tow it back to his garage.","1"
"Settlers in this part of the country hunted wild bore to survive.","0"
"The nights of the round table are the best stories about knights I've ever read!","0"
"I might have to leave work early if there’s an emergency.","0"
"Put the book over there.","0"
"My favorite fairy tail is Cinderella.","0"
"We our staying at the hotel closest to the stadium.","0"
"Mary passed her rode test and got her license.","0"
"I’m sure the hurricane will lose strength before it makes landfall.","0"
"His ankle swelled after the be stung him.","1"
"I have won more muffin left before the box is empty.","0"
"Please bring you're books to class with you tomorrow.","1"
"He has sew much homework to do.","1"
"The whether in San Francisco is beautiful year-round.","0"
"The aunt crawled into our picnic basket.","0"
"It's raining today so the baseball game will be cancelled.","0"
"I’m going to pick up some fresh meat from the butcher.","0"
"She wants to die her shoes to match her handbag.","0"
"I’m going to pick up some fresh meet from the butcher.","0"
"You may donate all items except car seats and cribs.","0"
"He always whines when he doesn’t get his way.","0"
"That car has big speakers for good bass.","0"
"Please tell us weather you would prefer steak or salmon for dinner.","1"
"I ate breakfast but I'm still hungry.","0"
"She wants to dye her shoes to match her handbag.","0"
"Please come back here and put your shoes away!","0"
"The hair lost the race to the tortoise.","0"
"The board of directors voted unanimously to fire the CEO.","0"
"I can’t bear to watch the zookeeper feed that ferocious grizzly bare!","1"
"He has so much homework to do.","0"
"John is much taller then his brother.","3"
"Many important life principals are learned in kindergarten.","0"
"Gangs wheeled a lot of power in this neighborhood.","0"
"Put the book over their.","0"
"The old floorboards may creak when you walk on them.","0"
"The berry flavored ice cream is delicious.","0"
"It’s time for lunch.","0"
"My favorite fairy tale is Cinderella.","0"
"He quickly grew board of the presenter’s dull speech.","0"
"This is the perfect site for a new mall.","0"
"Please put the sandwiches by the door so we don't forget them!","0"
"They pour water over their heads to cool off after a race.","0"
"Reading aloud –and doing it well–is a skill that requires much practice.","0"
"The dog had a mite in its ear.","0"
"The cat is licking it's paws.","1"
"Our aunt lives in Newport Road Island.","0"
"I red twelve books last month.","0"
"The new medicine had negative side affects.","1"
"She decided to so an extra button on her shirt.","0"
"The capitol of Maryland is the gorgeous city of Annapolis.","0"
"I can’t get threw; the road is blocked.","1"
"I have one pair of black socks.","0"
"The peek of the mountain is covered in snow.","0"
"Don’t pique!  It’s a surprise!","0"
"The peak of the mountain is covered in snow.","0"
"The color of Superman’s cape is read.","0"
"They pour over their study materials before every exam.","0"
"Honey-do Service: No job too big No job too tuff","2"
"They're apartment smells funny.","0"
"The constantly changing springtime weather is driving us crazy.","0"
"They're will be a lot to eat at the party tonight.","0"
"The bike's break failed which is why he toppled town the hill.","0"
"The constantly changing springtime whether is driving us crazy.","1"
"The organization will except donations through the first of the month.","0"
"I have too books I'd like to read.","0"
"Fast as lightning.","0"
"I prefer to read magazines instead of books.","0"
"My back will brake if we put one more thing in this backpack.","0"
"The principal is a well-respected member of the community because of the hard work and effort she puts forth in her position.","0"
"I rode the burrow through the desert.","0"
"I do need to buy new shoes for the kids.","0"
"The weather in San Francisco is beautiful year-round.","0"
"Honey-do Service: No job to big No job to tuff","0"
